id,paragraph,tokens
1,CHAPTER V. The Island of the Nine Whirlpools,
2," The dark arch that led to the witch's cave was hung with a black-and-yellow fringe of live snakes. As the Queen went in, keeping carefully in the middle of the arch, all the snakes lifted their wicked, flat heads and stared at her with their wicked, yellow eyes. You know it is not good manners to stare, even at Royalty, except of course for cats. And the snakes had been so badly brought up that they even put their tongues out at the poor lady. Nasty, thin, sharp tongues they were too.",dark arch lead witch cave hang black yellow fringe live snake go keep middle arch snake lift wicked flat head stare wicked yellow eye know good manners stare course cat snake bring put tongue poor lady nasty thin sharp tongue 
3,"Now, the Queen's husband was, of course, the King. And besides being a King he was an enchanter, and considered to be quite at the top of his profession, so he was very wise, and he knew that when Kings and Queens want children, the Queen always goes to see a witch. So he gave the Queen the witch's address, and the Queen called on her, though she was very frightened and did not like it at all. The witch was sitting by a fire of sticks, stirring something bubbly in a shiny copper cauldron.",husband course enchanter consider top profession wise know want child go see witch give witch address call frighten like witch sit fire stick stir bubbly shiny copper cauldron 
4,"""What do you want, my dear?"" she said to the Queen.",want dear say 
5,"""Oh, if you please,"" said the Queen, ""I want a baby--a very nice one. We don't want any expense spared. My husband said--""",say want baby nice one want expense spare husband say 
6,"""Oh, yes,"" said the witch. ""I know all about him. And so you want a child? Do you know it will bring you sorrow?""",say witch know want child know bring sorrow 
7,"""It will bring me joy first,"" said the Queen.",bring joy say 
8,"""Great sorrow,"" said the witch.",great sorrow say witch 
9,"""Greater joy,"" said the Queen.",great joy say 
10,"Then the witch said, ""Well, have your own way. I suppose it's as much as your place is worth to go back without it?""",witch say have own way suppose much place worth go 
11,"""The King would be very much annoyed,"" said the poor Queen.",annoyed say poor 
12,"""Well, well,"" said the witch. ""What will you give me for the child?""",say witch give child 
13,"""Anything you ask for, and all I have,"" said the Queen.",ask have say 
14,"""Then give me your gold crown.""",give gold crown 
15,The Queen took it off quickly.,take 
16,"""And your necklace of blue sapphires.""",necklace blue sapphire 
17,The Queen unfastened it.,unfasten 
18,"""And your pearl bracelets.""",pearl bracelet 
19,The Queen unclasped them.,unclasp 
20,"""And your ruby clasps.""",ruby clasp 
21,And the Queen undid the clasps.,undid clasp 
22,"""Now the lilies from your breast.""",lilie breast 
23,The Queen gathered together the lilies.,gather lilie 
24,"""And the diamonds of your little bright shoe buckles.""",diamond little bright shoe buckle 
25,The Queen pulled off her shoes.,pull shoe 
26,"Then the witch stirred the stuff that was in the cauldron, and, one by one, she threw in the gold crown and the sapphire necklace and the pearl bracelets and the ruby clasps and the diamonds of the little bright shoe buckles, and last of all she threw in the lilies.",witch stirr stuff cauldron throw gold crown sapphire necklace pearl bracelet ruby clasp diamond little bright shoe buckle last throw lilie 
27,"The stuff in the cauldron boiled up in foaming flashes of yellow and blue and red and white and silver, and sent out a sweet scent, and presently the witch poured it out into a pot and set it to cool in the doorway among the snakes.",stuff cauldron boil foaming flash yellow blue red white silver send sweet scent witch pour pot set cool doorway snake 
