id,paragraph,tokens
1,CHAPTER 9.,
2,"      Ah! county Guy, the hour is nigh,       The sun has left the lea,       The orange flower perfumes the bower,       The breeze is on the sea.       The lark, his lay, who thrilled all day,       Sits hushed, his partner nigh,       Breeze, bird, and flower, confess the hour,       But where is county Guy?                                 --SCOTT",county guy hour nigh sun leave lea orange flower perfume bower breeze sea lark lay thrill day sit hush partner bird flower confess hour county guy 
3," How was it meantime with Laura? The others were laughing and talking round her, but all seemed lost in the transcendent beam that had shone out on her. To be told by Philip that she was all to him that he had always been to her! This one idea pervaded her--too glorious, too happy for utterance, almost for distinct thought. The softening of his voice, and the look with which he had regarded her, recurred again and again, startling her with a sudden surprise of joy almost as at the first moment. Of the future Laura thought not. Never had a promise of love been made with less knowledge of what it amounted to: it seemed merely an expression of sentiments that she had never been without; for had she not always looked up to Philip more than any other living creature, and gloried in being his favourite cousin? Ever since the time when he explained to her the plates in the Encyclopaedia, and made her read ‘Joyce’s Scientific Dialogues,’ when Amy took fright at the first page. That this might lead further did not occur to her; she was eighteen, she had no experience, not even in novels, she did not know what she had done; and above all, she had so leant to surrender her opinions to Philip, and to believe him always right, that she would never have dreamt of questioning wherever he might choose to lead her. Even the caution of secrecy did not alarm her, though she wondered that he thought it required, safe as his confidence always was with her. Mrs. Edmonstone had been so much occupied by Charles’s illness, as to have been unable to attend to her daughters in their girlish days; and in the governess’s time the habit had been disused of flying at once to her with every joy or grief. Laura’s thoughts were not easy of access, and Philip had long been all in all to her. She was too ignorant of life to perceive that it was her duty to make this conversation known; or, more truly, she did not awaken her mind to consider that anything could be wrong that Philip desired.",meantime other laugh talk seem lose transcendent beam shine tell idea pervade glorious happy utterance distinct thought softening voice look regard recurr startling sudden surprise joy first moment future think have promise love make less knowledge amount seem expression sentiment look more other living creature glory favourite cousin time explain plate make read scientific take fright first page lead occur have experience novel know do lean surrender opinion believe right dreamt question choose lead caution secrecy alarm wonder think require safe confidence occupy illness unable attend daughter girlish day governess time habit disuse fly joy grief thought easy access ignorant life perceive duty make conversation know awake mind consider wrong desire 
4,"On coming home, she ran up to her own room, and sitting by the open window, gave herself up to that delicious dream of new-found joy.",come run own room sit open window give delicious dream new find joy 
5,"There she still sat when Amy came in, opening the door softly, and treading lightly and airily as she entered, bringing two or three roses of different tints.",sit come open door tread enter bring rose different tint 
6,‘Laura! not begun to dress?’,begin dress 
7,‘Is it time?’,time 
8,"‘Shall I answer you according to what Philip calls my note of time, and tell you the pimpernels are closed, and the tigridias dropping their leaves? It would be a proper answer for you; you look as if you were in Fairy Land.’",answer accord call note time tell pimpernel close tigridias drop leave proper answer look 
9,‘Is papa come home?’,come 
10,"‘Long ago! and Guy too. Why, where could you have been, not to have heard Guy and Eveleen singing the Irish melodies?’",long guy hear sing irish melody 
11,"‘In a trance,’ said Laura, starting up, and laughing, with a slight degree of constraint, which caused Amy, who was helping her to dress, to exclaim, ‘Has anything happened, Laura?’",trance say start laugh slight degree constraint cause help dress exclaim happen 
12,‘What should have happened?’,happen 
13,"‘I can’t guess, unless the fairies in the great ring on Ashendown came to visit you when we were gone. But seriously, dear Laura, are you sure you are not tired? Is nothing the matter?’",guess fairy great ring come visit gone dear sure tired matter 
14,"‘Nothing at all, thank you. I was only thinking over the talk I had with Philip.’",thank think talk have 
15,‘Oh!’,
16,"Amy never thought of entering into Philip’s talks with Laura, and was perfectly satisfied.",think enter talk satisfied 
17,"By this time Laura was herself again, come back to common life, and resolved to watch over her intercourse with Guy; since, though she was convinced that all was safe at present, she had Philip’s word for it that there might be danger in continuing the pleasant freedom of their behaviour.",time come common life resolve watch intercourse convince safe present have word be danger continue pleasant freedom behaviour 
18,"Nothing could be more reassuring than Guy’s demeanour. His head seemed entirely full of the Thursday, and of a plan of his own for enabling Charles to go to the review. It had darted into his head while he was going over the ground with Maurice. It was so long since Charles had thought it possible to attempt any amusement away from home, and former experiments had been so unsuccessful, that it had never even occurred to him to think of it; but he caught at the idea with great delight and eagerness. Mrs. Edmonstone seemed not to know what to say; she had much rather that it had not been proposed; yet it was very kind of Guy, and Charles was so anxious about it that she knew not how to oppose him.",reassuring guy demeanour head seem full plan own enable go review dart head go ground long think possible attempt amusement home former experiment unsuccessful occur think catch idea great delight eagerness seem know say have much propose kind anxious know oppose 
19,"She could not bear to have Charles in a crowd, helpless as he was; and she had an unpleasing remembrance of the last occasion when they had taken him to a flower-show, where they had lost, first Mr. Edmonstone, next the carriage, and lastly, Amy and Charlotte--all had been frightened, and Charles laid up for three days from the fatigue.",bear have crowd helpless have unpleasing remembrance last occasion take flower show lose first carriage frighten lay day fatigue 
20,"Answers, however, met each objection. Charles was much stronger; Guy’s arm would be ready for him; Guy would find the carriage. Philip would be there to help, besides Maurice; and whenever Charles was tired, Guy would take him home at once, without spoiling any one’s pleasure.",answer meet objection strong guy arm ready guy find carriage help tired guy take spoil one pleasure 
21,"‘Except your own,’ said Mrs. Edmonstone.",own say 
22,‘Thank you; but this would be so delightful.’,thank delightful 
23,"‘Ah!’ said Charles, ‘it would be as great a triumph as the dog’s that caught the hare with the clog round his neck--the dog’s, I mean.’",say great triumph dog catch hare clog neck dog mean 
24,"‘If you will but trust me with him,’ said Guy, turning on her all the pleading eloquence of his eyes, ‘you know he can get in and out of the pony-carriage quite easily.’",trust say guy turn plead eloquence eye know get pony carriage 
25,"‘As well as walk across the room,’ said Charles.",walk room say 
26,"‘I would drive him in it, and tell William to ride in and be at hand to hold the pony or take it out; and the tent is so near, that you could get to the breakfast, unless the review had been enough for you. I paced the distance to make sure, and it is no further than from the garden-door to the cherry-tree.’",drive tell ride hand hold pony take tent get breakfast review enough pace distance make sure further garden door cherry tree 
27,"‘That is nothing,’ said Charles.",say 
28,"‘And William shall be in waiting to bring the pony the instant you are ready, and we can go home independently of every one else.’",wait bring pony instant ready go one else 
29,"‘I thought,’ interposed Mrs. Edmonstone, ‘that you were to go to the mess-dinner--what is to become of that?’",think interpose go mess dinner become 
30,"‘O,’ said Charles, ‘that will be simply a bore, and he may rejoice to be excused from going the whole hog.’",say bore rejoice excuse go whole hog 
31,"‘To be sure, I had rather dine in peace at home.’",sure have dine peace home 
32,"Mrs. Edmonstone was not happy, but she had great confidence in Guy; and her only real scruple was, that she did not think it fair to occupy him entirely with attendance on her son. She referred it to papa, which, as every one knew, was the same as yielding the point, and consoled herself by the certainty that to prevent it would be a great disappointment to both the youths. Laura was convinced that to achieve the adventure of Charles at the review, was at present at least a matter of far more prominence with Guy than anything relating to herself.",happy have great confidence only real scruple think fair occupy attendance son refer papa one know same yield point console certainty prevent great disappointment youth convince achieve adventure review present least matter more prominence guy relate 
33,"All but Laura and her mother were wild about the weather, especially on Wednesday, when there was an attempt at a thunder storm. Nothing was studied but the sky; and the conversation consisted of prognostications, reports of rises and falls of the glass, of the way weather-cocks were turning, or about to turn, of swallows flying high or low, red sunsets, and halos round the moon, until at last Guy, bursting into a merry laugh, begged Mrs. Edmonstone’s pardon for being such a nuisance, and made a vow, and kept it, that be the weather what it might, he would say not another word about it that evening; it deserved to be neglected, for he had not been able to settle to anything all day.",mother wild weather be attempt thunder storm study sky conversation consist prognostication report rise falls glass way weather cock turn turn swallow fly high low red sunset halo moon last guy burst merry laugh begg pardon nuisance make vow keep weather say word evening deserve neglect able settle day 
34,"He might have said for many days before; for since the last ball, and still more since Lady Eveleen had been at Hollywell, it had been one round of merriment and amusement. Scrambling walks, tea-drinkings out of doors, dances among themselves, or with the addition of the Harpers, were the order of the day. Amy, Eveleen, and Guy, could hardly come into the room without dancing, and the piano was said to acknowledge nothing but waltzes, polkas, and now and then an Irish jig, for the special benefit of Mr. Edmonstone’s ears. The morning was almost as much spent in mirth as the afternoon, for the dawdlings after breakfast, and before luncheon, had a great tendency to spread out and meet, there was new music and singing to be practised, or preparations made for evening’s diversion, or councils to be held, which Laura’s absence could not break up, though it often made Amy feel how much less idle and frivolous Laura was than herself. Eveleen said the same, but she was visiting, and it was a time to be idle; and Mr. Lascelles seemed to be of the same opinion with regard to his pupil; for, when Guy was vexed at not having done as much work as usual, he only laughed at him for expecting to be able to go to balls, and spend a summer of gaiety, while he studied as much as at Oxford.",say many day last ball more round merriment amusement scramble walk tea drinking door dance addition order day come room dancing piano say acknowledge waltze polka irish jig special benefit ear morning much spend mirth afternoon dawdling breakfast luncheon have great tendency spread meet be new music singing practise preparation make evening diversion council hold absence break make feel idle frivolous say same visit time idle seem same opinion regard pupil guy vex do much work usual laugh expect able go ball spend summer gaiety study much 
35,"Thursday morning was all that heart could wish, the air cooled by the thunder, and the clouds looking as if raining was foreign to their nature. Mr. and Mrs. Edmonstone, their daughters, and Lady Eveleen, were packed inside and outside the great carriage, while Guy, carefully settling Charles in the low phaeton, putting in all that any one recommended, from an air-cushion to an umbrella, flourished his whip, and drove off with an air of exultation and delight.",morning heart wish air cool thunder cloud look rain foreign nature daughter pack great carriage settle low phaeton put one recommend air cushion umbrella flourish whip drive air exultation delight 
36,"Everything went off to admiration. No one was more amused than Charles. The scene was so perfectly new and delightful to one accustomed to such a monotonous life, that the very sight of people was a novelty. Nowhere was there so much laughing and talking as in that little carriage, and whenever Mrs. Edmonstone’s anxious eye fell upon it, she always saw Charles sitting upright, with a face so full of eager interest as to banish all thought of fatigue. Happy, indeed, he was. He enjoyed the surprise of his acquaintance at meeting him; he enjoyed Dr. Mayerne’s laugh and congratulation; he enjoyed seeing how foolish Philip thought him, nodding to his mother and sisters, laughing at the dreadful faces Guy could not help making at any particularly discordant note of the offensive bugle; and his capabilities rising with his spirits, he did all that the others did, walked further than he had done for years, was lifted up steps without knowing how, sat out the whole breakfast, talked to all the world, and well earned the being thoroughly tired, as he certainly was when Guy put him into the carriage and drove him home, and still more so when Guy all but carried him up stairs, and laid him on the sofa in the dressing-room.",go admiration amused scene new delightful accustom monotonous life very sight person novelty be much laugh talk little carriage anxious eye fall see sit face full eager interest banish thought fatigue happy enjoy surprise acquaintance meet enjoy laugh congratulation enjoy see foolish think nodd mother sister laugh dreadful face guy help make discordant note offensive bugle capability rise spirit do other walk do year lift step know sit whole breakfast talk world earn tired put carriage drive guy carry stair lay sofa dress room 
37,"However, his mother announced that it would have been so unnatural if he had not been fatigued, that she should have been more anxious, and leaving him to repose, they all, except Mr. Edmonstone, who had stayed to dine at the mess, sat down to dinner.",mother announce unnatural fatigue anxious leave repose stay dine mess sit dinner 
38,"Amy came down dressed just as the carriage had been announced, and found Laura and Eveleen standing by the table, arranging their bouquets, while Guy, in the dark, behind the piano, was playing--not, as usual, in such cases, the Harmonious Blacksmith, but a chant.",come dress carriage announce find stand table arrange bouquet dark piano play usual such case harmonious chant 
39,‘Is mamma ready?’ asked Laura.,mamma ready ask 
40,"‘Nearly,’ said Amy, ‘but I wish she was not obliged to go! I am sure she cannot bear to leave Charlie.’",say wish oblige go sure bear leave 
41,"‘I hope she is not going on my account,’ said Eveleen.",hope go account say 
42,"‘No, said Laura, ‘we must go; it would so frighten papa if we did not come. Besides, there is nothing to be uneasy about with Charles.’",say go frighten papa come be uneasy 
43,"‘O no,’ said Amy; ‘she says so, only she is always anxious, and she is afraid he is too restless to go to sleep.’",say say anxious afraid restless go sleep 
44,"‘We must get home as fast as we can; if you don’t mind, Eva,’ said Laura, remembering how her last dance with Guy had delayed them.",get mind say remember last dance delay 
45,"‘Can I do any good to Charlie?’ said Guy, ceasing his music. I don’t mean to go.’",do good say cease music mean go 
46,‘Not go!’ cried the girls in consternation.,go cry girl consternation 
47,"‘He is joking!’ said Eveleen. ‘But, I declare!’ added she, advancing towards him, ‘he is not dressed! Come, nonsense, this is carrying it too far; you’ll make us all too late, and then I’ll set Maurice at you.’",joke say declare add advance dress come nonsense carry make late set 
48,"‘I am afraid it is no joke,’ said Guy, smiling.",afraid joke say guy smile 
49,"‘You must go. It will never do for you to stay away,’ said Laura, decidedly.",go do stay say 
50,‘Are you tired? Aren’t you well?’ asked Amy.,tired ask 
51,"‘Quite well, thank you, but I am sure I had better not.’",thank sure have good 
52,"Laura thought she had better not seem anxious to take him, so she left the task of persuasion, to the others, and Amy went on.",think seem anxious take leave task persuasion other go 
53,‘Neither Mamma nor Charlie could bear to think you stayed because of him.’,bear think stay 
54,"‘I don’t, I assure you, Amy. I meant it before. I have been gradually finding out that it must come to this.’",assure mean find come 
55,"‘Oh, you think it a matter of right and wrong! But you don’t think balls wrong?’",think matter right wrong think ball wrong 
56,"‘Oh no; only they won’t do for such an absurd person as I am. The last turned my head for a week, and I am much too unsteady for this.’",do absurd person last turn head week unsteady 
57,"‘Well, if you think it a matter of duty, it can’t be helped,’ said Amy sorrowfully; ‘but I am very sorry.’",think matter duty help say sorry 
58,"‘Thank you,’ said Guy, thinking it compassion, not regret; ‘but I shall do very well. I shall be all the happier to-morrow for a quiet hour at my Greek, and you’ll tell me all the fun.’",thank say guy think compassion regret do happy quiet hour tell fun 
59,‘You liked it so much!’ said Amy; ‘but you have made up your mind and I ought not to tease you.’,like say make mind tease 
60,"‘That’s right Amy; he does it on purpose to be teased,’ said Eveleen, ‘and I never knew anybody so provoking. Mind, Sir Guy, if you make us all too late, you shan’t have the ghost of a quadrille with me.’",right do purpose tease say know provoking mind make late have ghost quadrille 
61,"‘I shall console myself by quadrilling with Andromache,’ said Guy.",console quadrill say guy 
62,"‘Come, no nonsense--off to dress directly! How can you have the conscience to stand there when the carriage is at the door?’",come nonsense dress have conscience stand carriage door 
63,‘I shall have great pleasure in handing you in when you are ready.’,have great pleasure hand ready 
64,‘Laura--Amy! Does he really mean it?’,mean 
65,"‘I am afraid he does,’ said Amy.",afraid say 
66,"Eveleen let herself fall on the sofa as if fainting. ‘Oh,’ she said, ‘take him away! Let me never see the face of him again! I’m perfectly overcome! All my teaching thrown away!’",let fall sofa fainting say take let see face overcome teaching throw 
67,"‘I am sorry for you,’ said Guy, laughing.",sorry say guy laugh 
68,‘And how do you mean to face Maurice?’,mean face 
69,‘Tell him his first bugle has so distracted me that I can’t answer for the consequences if I come to-night.,tell first bugle distract answer consequence come night 
70,"‘Mrs. Edmonstone came in, saying,--",come say 
71,"‘Come, I have kept you waiting shamefully, but I have been consoling myself by thinking you must be well entertained, as I heard no Harmonious Blacksmith. Papa will be wondering where we are.’",come keep wait consol think entertain hear harmonious wonder 
72,"‘Oh, mamma! Guy won’t go.’",guy go 
73,‘Guy! is anything the matter?’,guy matter 
74,"‘Nothing, thank you, only idleness.’",thank idleness 
75,"‘This will never do. You really must go, Guy.’",do go 
76,"‘Indeed! I think not. Pray don’t order me, Mrs. Edmonstone.’",think pray order 
77,"‘What o’clock is it, Amy? Past ten! Papa will be in despair! What is to be done? How long do you take to dress, Guy?’",o'clock past despair do take dress guy 
78,"‘Not under an hour,’ said Guy, smiling.",hour say guy smile 
79,"‘Nonsense! But if there was time I should certainly send you. Self-discipline may be carried too far, Guy. But now it can’t be helped--I don’t know how to keep papa waiting any longer. Laura, what shall I do?’",nonsense be time send self discipline carry guy help know keep papa wait do 
80,"‘Let me go to Charles,’ answered Guy. ‘Perhaps I can read him to sleep.’",let go answer guy read sleep 
81,"‘Thank you; but don’t talk, or he will be too excited. Reading would be the very thing! It will be a pretty story to tell every one who asks for you that I have left you to nurse my son!’",thank talk excited reading very thing pretty story tell one ask leave nurse son 
82,"‘No, for no such good reason,’ said Guy; ‘only because I am a great fool.’",such good reason say guy great fool 
83,"‘Well, Sir Guy, I am glad you can say one sensible word,’ said Lady Eveleen.",glad say sensible word say 
84,"‘Too true, I assure you,’ he answered, as he handed her in. ‘Good night! You will keep the quadrille for me till I am rational.’",true assure answer hand good night keep quadrille rational 
85,"He handed the others in, and shut the door. Mrs. Edmonstone, ruffled out of her composure, exclaimed,--",hand other shut door ruffle composure exclaim 
86,"‘Well, this is provoking!’",provoke 
87,"‘Every one will be vexed,’ said Laura.",one vex say 
88,"‘It will be so stupid,’ said Amy.",stupid say 
89,"‘I give him up,’ said Eveleen. ‘I once had hopes of him.’",give say have hope 
90,"‘If it was not for papa, I really would turn back this moment and fetch him,’ cried Mrs. Edmonstone, starting forward. ‘I’m sure it will give offence. I wish I had not consented.’",papa turn moment fetch cry start sure give offence wish consent 
91,"‘He can’t be made to see that his presence is of importance to any living creature,’ said Laura.",make see presence importance living creature say 
92,‘What is the reason of this whim?’ said Eveleen.,reason whim say 
93,"‘No, Eveleen, it is not whim,’ said Laura; ‘it is because he thinks dissipation makes him idle.’",whim say think dissipation make idle 
94,‘Then if he is idle I wonder what the rest of the world is!’ said Eveleen. ‘I am sure we all ought to stay at home too.’,idle wonder rest world say sure stay home 
95,"‘I think so,’ said Amy. ‘I know I shall feel all night as if I was wrong to be there.’",think say know feel night wrong 
96,"‘I am angry,’ said Mrs. Edmonstone; ‘and yet I believe it is a great sacrifice.’",angry say believe great sacrifice 
97,"‘Yes, mamma; after all our looking forward to it,’ said Amy. ‘Oh! yes,’ and her voice lost its piteous tone, ‘it is a real sacrifice.’",mamma look say voice lose piteous tone real sacrifice 
98,"‘If he was not a mere boy, I should say a lover’s quarrel was at the bottom of it,’ said Eveleen. ‘Depend upon it, Laura, it is all your fault. You only danced once with him at our ball, and all this week you have played for us, as if it was on purpose to cut him.’",mere boy say lover quarrel bottom say depend fault dance ball week play purpose cut 
99,"Laura was glad of the darkness, and her mother, who had a particular dislike to jokes of this sort, went on,--‘If it were only ourselves I should not care, but there are so many who will fancy it caprice, or worse.’",glad darkness mother have particular dislike joke sort go care be many fancy caprice bad 
100,"‘The only comfort is,’ said Amy, ‘that it is Charlie’s gain.’",only comfort say gain 
101,"‘I hope they will not talk,’ said Mrs. Edmonstone. ‘But Charlie will never hold his tongue. He will grow excited, and not sleep all night.’",hope talk say hold tongue grow excited sleep night 
