id,paragraph,tokens
1,CHAPTER XVII. _The Black Cat and the brethren_,black brethren_ 
2,"WHO was glad to see the prince, if it was not Lady Rosalind? The white roses of her cheeks turned to red roses in a moment, and then back to white again, they were so alarmed at the change. So the two went into the gardens together, and talked about a number of things; but at last the prince told her that, before three days were over, all would be well, or all would be over with him. For either he would have brought his brothers back, sound and well, to Falkenstein, or he would not survive his dishonour.",glad see prince white rose cheek turn red rose moment white alarmed change go garden talk number thing last prince tell day well bring brother sound survive dishonour 
3,"“It is no more than right,” he said; “for had I gone first, neither of them would have been sent to meet the monster after I had fallen. And I _should_ have fallen, dear Rosalind, if I had faced the Firedrake before I knew _you._”",more right say go send meet monster fall fall dear face know 
4,"Then when she asked him why, and what good she had done him, he told her all the story; and how, before he fell in love with her, he didn’t believe in fairies, or Firedrakes, or caps of darkness, or anything nice and impossible, but only in horrid useless facts, and chemistry, and geology, and arithmetic, and mathematics, and even political economy. And the Firedrake would have made a mouthful of him, then.",ask good do tell story fall love believe fairy firedrake cap darkness nice impossible horrid useless fact chemistry geology arithmetic mathematics political economy make mouthful 
5,"So she was delighted when she heard this, almost as much delighted as she was afraid that he might fail in the most difficult adventure. For it was one thing to egg on a Remora to kill a Firedrake, and quite another to find the princes if they were alive, and restore them if they were dead!",delighted hear delighted afraid fail difficult adventure thing egg kill find prince alive restore dead 
6,"But the prince said he had his plan, and he stayed that night at the ambassador’s. Next morning he rose very early, before anyone else was up, that he might not have to say “Good-bye” to Lady Rosalind. Then he flew in a moment to the old lonely castle, where nobody went for fear of ghosts, ever since the Court retired to Falkenstein.",prince say have plan stay night ambassador next morning rise else have say good fly moment old lonely castle go fear ghost retire 
7,"How still it was, how deserted; not a sign of life, and yet the prince was looking everywhere _for some living thing_. He hunted the castle through in vain, and then went out to the stable-yard; but all the dogs, of course, had been taken away, and the farmers had offered homes to the poultry. At last, stretched at full length in a sunny place, the prince found a very old, half-blind, miserable cat. The poor creature was lean, and its fur had fallen off in patches; it could no longer catch birds, nor even mice, and there was nobody to give it milk. But cats do not look far into the future; and this old black cat--Frank was his name--had got a breakfast somehow, and was happy in the sun. The prince stood and looked at him pityingly, and he thought that even a sick old cat was, in some ways, happier than most men.",desert sign life prince look living thing_ hunt castle vain go stable yard dog course take farmer offer home poultry last stretch full length sunny place prince find old half blind miserable cat poor creature lean fur fall patch catch bird mouse be give milk cat look future old black cat name get breakfast happy sun prince stand look think sick old cat way happy most man 
8," “Well,” said the prince at last, “he could not live long anyway, and it must be done. He will feel nothing.”",say prince last live do feel 
9,"Then he drew the sword of sharpness, and with one turn of his wrist cut the cat’s head clean off.",draw sword sharpness turn wrist cut cat head clean 
10,"It did not at once change into a beautiful young lady, as perhaps you expect; no, that was improbable, and, as the prince was in love already, would have been vastly inconvenient. The dead cat lay there, like any common cat.",change beautiful young lady expect improbable prince love inconvenient dead cat lay common cat 
11,"Then the prince built up a heap of straw, with wood on it; and there he laid poor puss, and set fire to the pile. Very soon there was nothing of old black Frank left but ashes!",prince build heap straw wood lay poor puss set fire pile be old black leave ash 
12,"Then the prince ran upstairs to the fairy cupboard, his heart beating loudly with excitement, The sun was shining through the arrow-shot window; all the yellow motes were dancing in its rays. The light fell on the strange heaps of fairy things--talismans and spells. The prince hunted about here and there, and at last he discovered six ancient water-vessels of black leather, each with a silver plate on it, and on the plate letters engraved. This was what was written on the plates:",prince run fairy cupboard heart beat excitement sun shine arrow shot window yellow mote dance ray light fall strange heap fairy thing talisman spell prince hunt last discover ancient water vessel black leather silver plate plate letter engrave write plate 
13,_AQVA. DE. FONTE. LEONVM._*,
14,     * Water from the Fountain of Lions.,
15,“Thank heaven!” said the prince. “I thought they were sure to have brought it!”,thank heaven say prince think sure bring 
16,"Then he took one of the old black-leather bottles, and ran downstairs again to the place where he had burned the body of the poor old sick cat.",take old black leather bottle run place burn body poor old sick cat 
17," He opened the bottle, and poured a few drops of the water on the ashes and the dying embers.",open bottle pour few drop water ash die ember 
